id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
30,Brazil,"São Paulo","Latin America","Ponto de Troca de Tráfego Metro São Paulo",http://ix.br/adesao/sp,Active,20041004,0,-23.62000,-46.65000,2413,13496880000,4777000000,1500000000,7.473310,Yes,2021-09-03,1,1,1,1,1,1,https://ix.br/particip/sp,No,GRU,137
160,Netherlands,Amsterdam,Europe,"Amsterdam Internet Exchange",https://ams-ix.net/,Active,19971229,1204334,52.30000,4.77000,845,9546000000,5597700000,3077200000,2.459940,Yes,2021-09-03,1,2,1,2,4,1,https://ams-ix.net/connected_parties,Yes,AMS,387
83,Germany,Frankfurt,Europe,"Deutscher Commercial Internet Exchange DE-CIX Frankfurt",https://www.de-cix.net/en/locations/germany/frankfurt,Active,19950500,1492263,50.12000,8.68000,1068,9340300200,6910000000,3600000000,0.000000,Yes,2021-09-03,1,3,1,1,3,2,https://www.de-cix.net/en/locations/germany/frankfurt/connected-networks,Yes,FRA,387
62,"United Kingdom",London,Europe,"London Internet Exchange",https://www.linx.net/,Active,19941108,757539,51.48000,-0.45000,770,4216000000,2700000000,1400000000,0.000000,Yes,2018-08-22,1,5,1,3,5,3,https://portal.linx.net/members/list-ip-asn,Yes,LHR,387
572,Netherlands,Amsterdam,Europe,"Neutral Internet Exchange",https://www.nl-ix.net/,Active,20020301,345945,52.30000,4.77000,460,3520000000,1890000000,800000000,0.000000,Yes,2021-09-03,2,6,2,7,12,4,https://www.nl-ix.net/network/connected-networks/,Yes,AMS,387
415,Brazil,"Rio de Janeiro","Latin America","Ponto de Troca de Tráfego do Rio de Janeiro",https://ix.br/adesao/rj,Active,20100000,0,-22.90000,-43.17000,470,3364480000,945600000,320000000,10.321490,No,2021-09-03,2,7,3,3,9,3,https://ix.br/particip/rj,No,,137
130,Japan,Tokyo,Asia-Pacific,"JPNAP Tokyo",http://www.jpnap.net/english/jpnap-tokyo/index.html,Active,20010000,0,35.55000,139.78000,130,2612568000,780000000,338000000,0.000000,No,2021-09-03,1,8,3,16,71,1,http://www.jpnap.net/english/jpnap-tokyo/customer.html,No,,253
96,China,"Hong Kong",Asia-Pacific,"Hong Kong Internet Exchange",http://www.hkix.net,Active,19950400,648896,22.33000,114.18000,293,2132960000,852000000,400000000,0.000000,Yes,2021-09-03,1,12,1,4,22,2,http://www.hkix.net/hkix/participant.htm,No,HKG,253
345,"United States",Seattle,"North America","Seattle Internet Exchange",https://www.seattleix.net/,Active,19970620,478310,47.61000,-122.33000,271,1852436322,1080000000,700000000,0.000000,Yes,2021-09-03,1,14,2,2,25,1,https://www.seattleix.net/participants/,Yes,SEA,254
1240,Ukraine,Kiev,Europe,"Digital Telecom Internet Exchange",https://dtel-ix.net/,Active,20090000,0,50.40000,30.45000,140,1774000000,808800000,150040000,1.211670,No,2021-09-03,2,15,2,35,66,8,https://dtel-ix.net/en/members,No,,387
129,Japan,Tokyo,Asia-Pacific,"Japan Internet Exchange",https://www.jpix.ad.jp/jp/index.php,Active,19970700,341786,35.55000,139.78000,174,1680000000,842500000,400000000,0.000000,Yes,2021-09-03,2,16,1,10,52,4,https://www.jpix.ad.jp/en/member.php?qso=b&qar=2,Yes,NRT,253
1089,Brazil,Fortaleza,"Latin America","Ponto de Troca de Trafego do Fortaleza",https://ix.br/adesao/ce,Active,20081001,0,-3.78000,-38.53000,474,1680000000,388000000,120000000,0.000000,No,2021-09-03,3,16,2,2,8,4,https://ix.br/particip/ce,No,,137
1270,Russia,Moscow,Europe,"DataIX Moscow",http://www.dataix.ru/,Active,20101020,0,55.75000,37.60000,282,1600000000,0,200000000,0.000000,No,2021-09-03,1,18,4,14,24,9,http://www.dataix.ru/members/,No,,387
1306,"South Africa",Johannesburg,Africa,"NAPAfrica Johannesburg",https://www.napafrica.net/,Active,20120000,260323,-26.13000,28.23000,477,1598821618,1135768516,466464644,0.000000,Yes,2021-10-01,1,19,1,1,7,1,https://www.napafrica.net/who-is-peering/,Yes,JNB,82
1124,France,Paris,Europe,France-IX,https://www.franceix.net/en/,Active,20101100,433040,48.80000,2.33000,445,1390000000,665000000,556000000,0.000000,Yes,2021-09-03,1,21,1,8,14,11,https://www.franceix.net/en/france-ix-paris/members-in-paris/,Yes,CDG,387
126,Japan,Osaka,Asia-Pacific,"JPNAP Osaka",http://www.mfeed.co.jp/english/jpnap-osaka/index.html,Active,20020002,0,34.53000,135.50000,52,1337180000,407000000,179000000,0.000000,No,2021-09-03,3,22,5,37,174,5,http://www.mfeed.co.jp/english/jpnap-osaka/customer.html,No,,253
464,Singapore,Singapore,Asia-Pacific,"Equinix Singapore IBX",https://www.equinix.sg/,Active,20040426,767349,1.37000,103.98000,156,650000000,0,0,0.000000,Yes,0000-00-00,1,23,2,12,60,6,,Yes,"QPG, QPG",253
1272,Singapore,Singapore,Asia-Pacific,"Singapore Internet Exchange",https://www.sgix.sg/,Active,20090900,295147,1.37000,103.98000,166,1230000000,287630000,120000000,0.000000,Yes,2021-09-03,2,25,1,11,56,7,https://www.sgix.sg/peering-participants/,Yes,QPG,253
55,"Czech Republic",Prague,Europe,"NIX.CZ - Neutral Internet eXchange for the Czech Republic",https://www.nix.cz/cs,Active,19960831,0,50.08000,14.43000,182,1200000000,0,160000000,0.000000,No,2020-03-27,1,26,1,27,48,12,https://www.nix.cz/en/networks,No,,387
118,Italy,Milan,Europe,"Milan Internet Exchange",http://www.mix-it.net/,Active,20001100,0,45.45000,9.17000,345,1112000000,668000000,190000000,0.000000,No,2021-05-07,1,27,1,11,18,13,http://www.mix-it.net/index.php?option=com_content&view=article&id=85&Itemid=84&lang=en,No,,387
39,Canada,Toronto,"North America","Toronto Internet Exchange",https://www.torix.ca/,Active,19980724,341350,43.67000,-79.40000,226,1082000000,706000000,316000000,0.000000,Yes,2021-09-03,1,29,1,4,37,3,https://www.torix.ca/peers/,Yes,YYZ,254
227,Sweden,Stockholm,Europe,"Netnod Stockholm",https://www.netnod.se/,Active,19970000,0,59.33000,18.05000,162,1078711000,917833000,200000000,0.000000,Yes,2021-09-03,1,30,1,32,59,14,https://www.netnod.se/ix/networks,No,ARN,387
1265,"United States",Minneapolis,"North America","Midwest Internet Cooperative Exchange",http://www.micemn.net/,Active,20110111,0,44.98550,-93.27190,94,827460000,1,110000000,0.000000,Yes,2021-08-29,3,31,14,15,104,4,http://www.micemn.net/participants.html,No,MSP,254
320,"United States","New York","North America","New York International Internet Exchange",http://www.nyiix.net/,Active,19960000,157,40.75000,-74.00000,174,998100000,605230000,390000000,0.000000,Yes,2021-09-03,4,33,6,7,52,5,http://www.nyiix.net/members/,Yes,LGA,254
213,Spain,Madrid,Europe,"Punto Neutro Español de Internet",http://www.espanix.net/en/index.html,Active,19970000,148611,40.43000,-3.70000,97,970000000,560340000,180000000,0.000000,Yes,2021-09-03,1,34,2,51,100,15,http://www.espanix.net/en/partners.html,Yes,MAD,387
255,"United States",Ashburn,"North America","Equinix IBX Ashburn",https://www.equinix.com/,Active,20021031,940424,39.02000,-77.46000,208,610000000,0,0,0.000000,Yes,0000-00-00,5,35,5,6,44,6,,Yes,IAD,254
509,Poland,Warsaw,Europe,"Equinix IX Warsaw (ex-PLIX)",http://www.plix.pl/pl,Active,20060402,304605,52.23000,21.00000,266,883000000,521000000,150000000,0.000000,Yes,2018-11-02,3,37,3,15,26,17,http://www.plix.pl/pl/member,Yes,WAW,387
15,Austria,Vienna,Europe,"Vienna Internet Exchange",https://www.vix.at/vixhome.html,Active,19960400,145453,48.20000,16.37000,149,836080000,478680000,142500000,3.693490,Yes,2021-09-03,1,39,1,33,62,18,https://www.vix.at/vix_participants.html,Yes,VIE,387
125,Japan,Osaka,Asia-Pacific,"JPIX Osaka",https://www.jpix.ad.jp/en/,Active,20020400,0,34.53000,135.50000,49,782900000,467000000,150000000,0.000000,No,2021-09-03,4,42,7,41,188,9,https://www.jpix.ad.jp/jp/member.php,No,,253
49,Colombia,Bogotá,"Latin America","NAP Colombia",https://www.nap.co,Active,20000629,0,4.70000,-74.13000,21,743000000,0,10000000,0.000000,No,2020-09-21,1,43,1,38,315,6,https://www.nap.co/miembros/,No,,137
116,Ireland,Dublin,Europe,"Internet Neutral Exchange Association Limited",https://www.inex.ie/,Active,19960000,1011441,53.33000,-6.25000,108,577998932,398135795,161529181,0.000000,Yes,2021-10-05,1,45,1,46,89,21,https://www.inex.ie/about-us/inex-members/,Yes,DUB,387
249,Ukraine,Kiev,Europe,"Ukrainian Internet Exchange",https://www.ix.net.ua/en,Active,20000700,43962,50.40000,30.45000,180,664930000,169,110000000,0.000000,No,2021-09-03,3,47,1,28,49,23,https://www.ix.net.ua/members,No,,387
17,Belgium,Brussels,Europe,"Belgian National Internet Exchange",https://bnix.net/,Active,19950000,0,50.90000,4.53000,61,300000000,0,80000000,0.000000,No,2021-09-03,1,50,1,73,156,25,https://bnix.net/en/content/participants,No,,387
1088,Brazil,Londrina,"Latin America","Ponto de Troca de Trafego do Londrina",https://ix.br/adesao/lda,Active,20090215,0,-23.33000,-51.13000,32,530000000,21,5000000,0.000000,No,2021-11-03,4,51,22,29,254,7,https://ix.br/particip/lda,No,,137
80,Germany,Berlin,Europe,"Berlin Commercial Internet Exchange",https://www.bcix.de/bcix/,Active,20020906,303761,52.38000,13.52000,120,521863361,306812394,105913095,0.000000,Yes,2021-10-04,2,53,7,42,80,27,https://www.bcix.de/bcix/members/,Yes,BER,387
64,"United Kingdom",London,Europe,"London Network Access Point",https://www.lonap.net/,Active,19980000,89149,51.48000,-0.45000,232,500000000,390323594,160208112,0.000000,Yes,2021-09-03,2,55,2,19,34,28,https://www.lonap.net/members.shtml,Yes,LHR,387
147,"South Korea",Seoul,Asia-Pacific,"Korea Internet Neutral Exchange KINX",https://www.kinx.net/?lang=en,Active,20000600,191654,37.50000,126.93000,64,412000000,0,0,0.000000,Yes,2016-03-08,1,56,2,33,148,12,https://www.kinx.net/service/network/ix/localpeering/?lang=en,Yes,ICN,253
234,Switzerland,Zurich,Europe,SwissIX,https://www.swissix.ch/,Active,20010309,98444,47.48000,8.53000,229,392023384,256904557,92990065,0.000000,Yes,2021-10-05,1,57,2,20,35,29,https://www.swissix.ch/participation/participants,Yes,ZRH,387
1092,Brazil,"Porto Alegre","Latin America","Ponto de Troca de Trafego do Porto Alegre",https://ix.br/adesao/rs,Active,20020400,0,-30.00000,-51.18000,287,366170000,138000000,50000000,0.000000,No,2021-09-03,5,58,4,4,23,8,https://ix.br/particip/rs,No,,137
20,Brazil,Brasília,"Latin America","Ponto de Troca de Tráfego do Brasília",https://ix.br/adesao/df,Active,20090000,0,-15.78000,-47.93000,103,359750000,30600000,5000000,0.000000,No,2021-09-03,6,59,10,13,96,9,http://ix.br/particip/df,No,,137
1137,Bulgaria,Sofia,Europe,"Bulgarian Internet eXchange",https://www.bix.bg/en/home.html,Active,20090801,255099,42.65000,23.38000,77,359110000,179500000,90000000,0.000000,Yes,2021-09-03,2,60,2,63,127,30,https://www.bix.bg/en/members/public_peers.html,Yes,SOF,387
238,Taiwan,Taipei,Asia-Pacific,"Taiwan Internet Exchange",https://www.twix.net/index_e.html,Active,19971200,35830,25.03000,121.52000,26,330650000,110720000,50000000,0.000000,No,2021-09-03,1,63,2,65,283,14,https://www.twix.net/member_e.html,No,,253
99,Hungary,Budapest,Europe,"Budapest Internet Exchange",http://www.bix.hu/,Active,19960000,0,47.43000,19.18000,80,287000000,122000000,46900000,0.000000,No,2021-09-03,1,66,1,61,122,33,http://www.bix.hu/en/members,No,,387
81,Germany,Berlin,Europe,"Megaport Berlin IX",https://www.megaport.com/,Active,20030000,225699,52.38000,13.52000,56,286000000,0,0,0.000000,Yes,0000-00-00,3,67,12,78,166,34,https://www.ecix.net/connected-networks,Yes,"FRA, SXF",387
1308,"South Africa","Cape Town",Africa,"NAPAfrica Cape Town",https://www.napafrica.net/,Active,20120000,252104,-33.98000,18.60000,233,280199692,199258997,71148189,0.000000,Yes,2021-10-05,2,69,2,2,33,2,https://www.napafrica.net/who-is-peering/,Yes,SDB,82
1341,"United Arab Emirates",Dubai,Europe,"UAE-IX by DE-CIX",https://www.uae-ix.net/,Active,20120224,2438,25.25000,55.33000,70,273900000,94200000,45000000,0.000000,Yes,2021-09-03,1,70,1,68,140,35,https://www.uae-ix.net/customers-partners/customers/,Yes,DXB,387
803,Netherlands,Rotterdam,Europe,"Rotterdam Internet eXchange",https://r-ix.nl/,Active,20070000,15279,51.95000,4.45000,29,250000000,0,40000000,0.000000,Yes,2018-02-28,4,73,10,125,266,37,https://r-ix.nl/content/customerlist,No,,387
